,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,x,y
50,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,220.7781360363604,252.68102897758126
51,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,25.996676576167374,97.33758332117623
52,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,197.07247664951262,234.74953965876557
53,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,13.234358860251234,80.48477333347864
54,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,11.450968120647133,80.12457998509672
55,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,199.82162666312774,250.46807226461146
56,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,112.66171399312441,104.22085069229706
57,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,199.82162666312774,250.46807226461146
58,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,205.4110747259837,236.85664749716761
59,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,199.82162666312774,250.46807226461146
60,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,199.82162666312774,250.46807226461146
61,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,210.44791721168843,232.75278354835973
62,Oban,2,2,2,2,0,0,2,0,2,2,2,0,60.916610090467316,147.87511228302583
63,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,217.48015577473686,325.9212502623018
64,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,164.07868589573687,244.3901747596592
65,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,202.3309020671324,194.85076382360785
66,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,225.31981783712078,375.7873340315741
67,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,204.9486114574317,242.6575042535619
68,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,154.76927109933067,201.83489378830882
69,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,44.13489400857196,58.24327840344904
70,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,211.86290931235317,234.51468046184786
71,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,220.42230260713825,241.32934029749822
72,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,16.17981774546098,235.4201604927366
73,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,196.83400774424103,234.85976253222816
74,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,198.2933002759651,221.71500473245078
75,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,144.0031137174825,260.32087230170464
76,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,26.352702128781686,170.5321557077218
77,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,156.55092695222223,226.45330197408248
78,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,192.20888408674708,221.4663120489936
79,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,192.60478580391532,229.36645203870194
80,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,163.54313919509232,125.08660168650113
